web_scraper_order,product,variant,comment,created_at,reason
1773397937-1,Son Pha Lê 3CE Misty Lip Bare,09 - Driftwood,"ship về thì bị bể vậy, mình không có thời gian trả hàng nên cũng thôi. Mình đành không xài vứt luôn coi như lần này cũng như lần cuối vậy!!!! Chất son mình test ra thử thì ánh tím tím, mà xài không được vì vỏ vỡ rồi!!! BỰC MÌNH VÀ THẤT VỌNG",2026-03-13 16:17,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-2,Son kem lì nhung mịn 3CE Velvet Lip Tint,Taupe-Gạch đỏ,"Gửi sai màu, shop tloi chậm trễ, và k xử lý",2026-03-13 15:43,Thiếu hàng / sai sản phẩm
1773397937-3,Son môi 3CE mịn lì nhẹ tênh 3CE Blur Matte Lipstick,MISTY DAY-Hồng tím,chất son thì khô queo để tronh cốp mà lf son thỏi nên gãy son kêu đổi trả thì k dc,2026-03-13 15:42,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-4,Son kem lì nhung mịn 3CE Velvet Lip Tint,Childlike-Cam cháy,Hàng không như quảng cáo lợi dụng lổ hổng trả hàng ép ng dùng,2026-03-13 15:09,Không giống mô tả / quảng cáo
1773397937-5,(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours,,mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình mình bị shop lấy 632k đòi công bằng lại dùm t với mình đặt hàng vì các kol nói đặt sẽ nhận hộp nhma khi t nhận về k có hộp gói hàng rất nhỏ nên t biết kco và trả hàng liền trong mai và đơn chưa từng khui vậy mà đến khi giao trả cho shop thì shop lại nói đơn bị móp k thể bán lại cho khách khác và k hoàn lại 632k của t,2026-03-13 12:36,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-9,Son kem lì nhung mịn 3CE Velvet Lip Tint,Definition-Đất nung,"Bst này của 3CE xấu thực sự so với hồi nắp vàng, nó cứ hồng hồng tím tím sao ấy, mặc dù màu swatch toàn tông cam. Bạn nào hợp hồng tím nên mua, còn ko nên cân nhắc Ảnh là mình dùng son speak up và definition, đều ra tông hồng tím, ảnh swatch thì là tông cam, khó hiểu??",2026-03-13 10:33,Chất lượng sản phẩm kém
1773397937-12,Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick,BUDDY-Hồng cá hồi,"vỏ bị móp nặng, son mở ra không được, son bên trong bị gãy, bể. Mua cây son gần 300k mà hư không sử dụng được. Khiếu nại trả hàng thì phải đợi, quy trình rắc rối, phức tạp, và cũng không biết có được hoàn tiền lại hay không, phải chờ xem xét. Nói chung rất thất vọng. Đóng gói sơ xài không chống sốc. Hậu quả người mua phải chịu.",2026-03-12 20:11,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-14,(GWP) 3CE Mini Square Metal Mirror Gương Vuông Kim Loại Mini 3CE | 3CE Official Store,,Ko soi dc bị móp méo luôn ấy chả hiểu sao,2026-03-12 15:41,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-15,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Sepia-Đỏ táo trầm,"Giao hàng đã khui, đặt hoả tốc trả tiền ship hoả tốc mà hôm sau mới giao",2026-03-12 11:27,Khác / Không rõ
1773397937-16,"3CE BST COLOR BAKER - SON GLAZY LIP GLOW, SON VELVET PLUSH, MÁ HỒNG FACE BLUSH, BẢNG MẮT MULTI EYE 9 COLORS PALETTE",Glazy Lip Glow-#41,"Ko dưỡng ẩm tốt, đắt so với chất lượng, ko mua lại",2026-03-11 00:38,Giá cao không xứng
1773397937-18,(GWP) 3CE Velvet Plush Mini DA,,Đồ Trung k phải hàn,2026-03-10 19:11,Khác / Không rõ
1773397937-19,Phấn Má Hồng Bắt Sáng 3CE Blushlighter,Middy Hype,"Son sx tại Trung Quốc nhé, son trái là mua shop này, son bên phải mua lâu r của shop mall gửi từ Hàn về cơ. Khác nhau hoàn toàn. Designed tại Hàn @@ sx tại Trung là kiểu j chời. Ko tìm đc shop cũ giờ mua phải hàng này mà thôi k đổi trả vì bóc r nè",2026-03-10 19:11,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-21,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,Dear March-Cam nude,Đặt màu camnude mà ở ngoài nó hồng thì thôi luôn. Lên tay hay môi đều bị như vậy và ngả tím sau 2h. Hồng sen nữa chứ.,2026-03-10 18:56,Chất lượng sản phẩm kém
1773397937-24,Phấn Má Hồng Mịn Lì 3CE Face Blush 5g,Delectable-Hồng,Mãi iu nhé. Dùng lá dính luôn haha. Nsjjssjsjsj,2026-03-10 12:57,Khác / Không rõ
1773397937-25,(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours,,mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình,2026-03-13 12:28,Hộp méo / sản phẩm hỏng / rò rỉ
1773397937-26,(GWP) 3CE Túi Đựng Mỹ Phẩm,,Hình ảnh chỉ mang lại tính chất minh họa em mua những sản phẩm trên hình trên thì liên hệ em nhé liên hệ qua TikTok: tl.24.04 ạ Đánh giá chỉ mang lại tính chất nhận su em mua những sản phẩm trên hình liên hệ em : tl.24.04 tiktok,2026-03-12 19:00,Khác / Không rõ
1773397937-33,Phấn Nước Trang Điểm 3CE Fitting Mesh Cushion,(Lõi Refill)-P02,Thật sự cái phấn nước này của 3ce thật sự xấu. Màu rất xấu và khó dùng luôn. Chọn tông sáng P02(hãng nói đây là tông sáng rồi đó) mà vẫn rất tối. Màu có bị tối mà Hồng hồng vàng vàng sao á nói chung kén da nhé. Mọi người muốn mua màu này của hãng này nên cân nhắc. Mua trong live của Hanaolala quảng cáo là dòng phấn nước đẹp lắm mà nhận hàng thất vọng. Giá sản phẩm không phải rẻ mà chất lượng kém. Không hề như quảng cáo. Da ai có khuyết điểm thì không dùng hợp đâu. Đánh giá chân thật đấy,2026-03-09 23:32,Không giống mô tả / quảng cáo
1773397937-34,(GWP) 3CE Son Cashmere Mini & Voucher Tous Les Jours,,mình có đầy đủ bằng chứng từ lúc nhận hàng đến lúc đưa hàng cho shipper hợp không hề bị móp Đơn về chưa từng khui ra Nếu có vấn đề gì là do shop không phải do mình mong shop hoàn hàng trả tiền lại cho mình mình bị shop lấy 632k đòi công bằng lại dùm t với,2026-03-13 12:31,Hộp méo / sản phẩm hỏng / rò rỉ
